recipe,title_length,recipe_length,ingredients_length,recipe_freq_word,number_of_ingredient,class
Omelette au saumon et au chèvre d'Alex,7,52,34,dorer,16,Plat principal
Gâteau de relisanne,3,15,26,mélanger,8,Dessert
Filet mignon de porc à la mangue et au gingembre,10,54,19,faire,7,Plat principal
Civet de lapin de la çoise,6,74,21,cocotte,9,Plat principal
Quiche sans pâte aux 4 fromages,6,32,38,crème,14,Plat principal
Concombre au crabe,3,34,9,mélange,5,Entrée
Petits pains au jambon et au brie,7,66,36,petit,13,Entrée
Gratin de poisson aux épinards de Sandy,7,43,25,riz,9,Plat principal
Ananas au thé vert-vervaine,4,28,20,mettre,8,Dessert
Filet de porc aux mirabelles,5,51,24,viande,8,Plat principal
Menu médiéval,2,219,25,baril,11,Plat principal
Terrine d'aubergines facile,3,21,31,servir,5,Entrée
Joue de boeuf en daube,5,57,45,minute,14,Plat principal
Vlaai (Belgique),2,13,25,degré,8,Dessert
Colombo de poulet guadeloupéen,4,67,18,colombo,7,Plat principal
Salade de choux rouge au thon et aux olives,9,13,17,grand,5,Entrée
Hachis parmentier eux endives,4,129,48,temps,16,Plat principal
Pâtes à l'avocat,3,28,9,bien,5,Plat principal
Potée aux saucisses de francfort,5,61,22,couper,8,Plat principal
Tarte aux pêches à l'orange,5,42,25,pâte,8,Dessert
Salade de crevettes et de pamplemousse rose,7,27,23,morceau,8,Entrée
Tourte de viande au foie truffée,6,43,38,madère,11,Entrée
Velouté de pâtisson,3,48,22,cube,9,Entrée
Flan de courgettes au saumon  frais,6,77,24,couper,8,Entrée
Brioches aux pralines roses,4,97,23,four,9,Dessert
Poireaux mimosa,2,37,11,faire,5,Plat principal
Soupe chou-carottes améliorée,3,47,21,carotte,9,Entrée
Carottes à la crème d'ail,5,49,29,carotte,9,Plat principal
Pâtes au poivron - Roquefort,5,61,22,pâte,7,Plat principal
Gâteau au chocolat et aux noix (micro-ondes),7,100,31,ajouter,9,Dessert
Rata,1,30,24,faire,10,Plat principal
Sauté de porc à l'ananas,5,66,31,sauce,9,Plat principal
Escaloppes pizzaiolo,2,56,33,escalope,11,Plat principal
Tarte normande aux pommes caramélisées,5,63,34,pomme,11,Dessert
Riz au parmesan et à la sauge,7,32,19,riz,7,Plat principal
Sorbet de Foie Gras,4,45,39,mettre,7,Entrée
Filet de loup de mer à la russe,8,110,56,ajouter,18,Plat principal
Tajine de mouton aux pommes de terre et figues,9,64,44,tajine,14,Plat principal
Parmentier de saumon,3,45,28,20,9,Plat principal
Velouté de courgettes au boursin,5,42,28,cube,9,Entrée
Filets de sardines grillés,4,56,17,filet,7,Plat principal
Gâteaux de semoule aux griottes,5,67,17,semoule,6,Dessert
Chicken pie au curry,4,117,41,faire,12,Plat principal
Salade alsacienne de mon enfance,5,36,35,échalote,8,Entrée
Tajine d'agneau aux citrons confits et olives,7,81,51,plat,13,Plat principal
Oeufs durs aux tomates gratinés,5,62,30,faire,10,Entrée
Boulettes parmentier,2,29,26,hacher,10,Plat principal
Ragoût de scaroles de ma maman,6,55,13,scarole,8,Plat principal
Tarte surprise aux reines-claudes,4,55,29,mélanger,9,Dessert
Gratin merguez - courgettes (restes de barbecue),7,60,15,faire,6,Plat principal
Romazave (Madagascar),2,160,25,brède,8,Plat principal
Le mi-mi sucré,3,40,21,mettre,7,Dessert
Daube de canard au madiran,5,123,43,3,13,Plat principal
Poêlée d'ananas aux speculoos et glace caramel,7,75,26,ananas,7,Dessert
Papillote de saumon sauce crevettes-ciboulette,5,137,34,saumon,12,Plat principal
Charlotte aux fruits rouges,4,96,36,1,14,Dessert
Marinade d'oignon rouge et radis noir,6,162,32,oignon,10,Entrée
Bettelmann (mendiant aux cerises noires),5,53,38,lait,11,Dessert
Nouilles instantanées aux pois gourmands,5,76,37,faire,7,Entrée
Flan poireaux jambon,3,52,26,four,9,Plat principal
Ramequins de pommes gratinées,4,32,19,pomme,7,Dessert
Poêlée de courgettes végétarienne,4,44,23,faire,8,Plat principal
Roulés de saumon à la mousse de saumon,8,55,19,fromage,7,Entrée
Carré d'amour provençal,3,51,18,carré,7,Entrée
Verrines chantilly speculoos au caramel,5,128,24,crème,7,Dessert
Gratin de sole aux Saint-Jacques,5,132,55,ajouter,18,Plat principal
Pâtes citron persil,3,45,28,bien,8,Plat principal
Soufflé au thon de Vally,5,64,17,thon,7,Plat principal
Fars pitilig (far à la poêle),6,89,32,crêpe,7,Dessert
Encornets farcis à la Portuguaise,5,75,21,encornet,8,Plat principal
Calamars  (calmars) farcis à la viande,6,116,42,tomate,13,Plat principal
Pâtes au thon,3,29,26,pâte,8,Plat principal
COURGETTE FARCIE,2,88,45,courgette,11,Plat principal
Feuilletés chèvre tapenade,3,72,28,triangle,10,Entrée
Chou fleur au gingembre,4,44,18,chou,6,Entrée
Carré d'agneau aux figues et sa sauce jardinière,8,63,25,faitout,14,Plat principal
Pâtes au foie de volaille,5,37,19,pâte,6,Plat principal
Tiramisu aux speculoos (Sans alcool),5,36,13,mascarpone,5,Dessert
Agneau épicé aux carottes et pruneaux,6,112,54,cocotte,18,Plat principal
Riz sauce Aurore,3,50,38,riz,11,Plat principal
Veau à la grecque,4,58,29,couper,8,Plat principal
Rognon de veau Montpensier aux asperges,6,51,27,beurre,11,Plat principal
Salade composée à ma façon,5,57,43,vinaigrette,13,Plat principal
Gâteau de savoie au chocolat,5,106,22,blanc,9,Dessert
Fondant de Nat pour Hadrien,5,89,16,fondant,6,Dessert
Salade minceur croquante au maïs et aux champignons,8,43,42,couper,14,Entrée
Alouettes de porc,3,81,31,escalope,11,Plat principal
Fruits grillés à la plancha,5,85,11,fruit,5,Dessert
Petits gâteaux aux amandes et à l'orange,7,62,30,blanc,10,Dessert
Gâteau au yaourt sur coulis de bleuets / violettes,9,91,88,x,14,Dessert
Curry d'ossobuco à la nadinette,5,87,77,rajouter,15,Plat principal
Brick de Chaumes et salade aux raisins secs,8,120,45,brick,10,Entrée
Tanche au vinaigre balsamique (recette d'après pêche),7,97,41,tanche,12,Plat principal
Filet mignon de porc aux oignons,6,47,38,viande,11,Plat principal
Tarte Poulet et Champignons,4,164,35,poulet,14,Plat principal
Quiche aux fruits de mer à la provençale,8,53,22,pâte,8,Entrée
Artichauts à l'ail et queues de gambas,7,152,44,artichaut,13,Entrée
"Roulés de poulet farcis, sauce au foie gras",8,72,33,escalope,9,Plat principal
Roulade de veau à l'italienne,5,78,26,tomate,8,Plat principal
Gratin de poisson aux carottes et aux courgettes,8,73,30,four,13,Plat principal
Spare-ribs au miel,3,51,37,miel,10,Plat principal
Salade de poulet à l'indienne,5,60,31,poulet,10,Entrée
Gâteau de semoule aux fruits,5,56,21,faites,8,Dessert
Cake salé au gewurztraminer,4,90,19,gewurztraminer,7,Plat principal
Gâteau au chocolat yaourt à la fraise,7,57,32,four,10,Dessert
Verrine exotique à l'ananas,4,75,18,mixer,8,Dessert
Aubergine farcie aux  épices,4,78,32,minute,10,Plat principal
"Petits gâteaux ""illico""",3,36,11,ajouter,4,Dessert
Saumon au four facile et léger,6,61,28,four,12,Plat principal
Gambas au curry (vite fait !),6,34,12,gambas,5,Plat principal
"Flan aux pommes, cannelle, raisins",5,30,21,pomme,9,Dessert
Kebsa (plat saoudien de riz à la viande),8,106,71,ajouter,18,Plat principal
Fondant citron amandes,3,39,13,blanc,5,Dessert
Tarte moelleuse aux asperges,4,83,27,asperge,9,Entrée
Cake aux raisins secs (russie),5,44,38,ajouter,11,Dessert
Poêlée d'asperges vertes et coppa,5,57,17,asperge,6,Entrée
Maffé de poulet (Afrique),4,100,33,mélanger,10,Plat principal
Soupe aux moules et aux légumes,6,73,48,feu,17,Entrée
Pommes de terre farcies (chair à saucisse et poitrine fumée),10,143,37,pomme,12,Plat principal
Mousse au café simple,4,30,21,crème,6,Dessert
Boulgour aux lardons et oignons,5,85,25,min,6,Plat principal
Quiche au thon et olives noires,6,41,32,mettre,10,Entrée
FILET DE PORC AU CURRY ET AUX FRUITS,8,47,28,faire,9,Plat principal
Gâteau aux carambars tout simple,5,48,19,mélanger,8,Dessert
Gâteau mantouan,2,35,23,sucre,8,Dessert
Glace meringuée  de mamie,4,34,12,jaune,4,Dessert
Pois chiches à l'espagnole,4,55,35,chorizo,11,Plat principal
Entrée de saumon frais et de saumon fumé,8,46,15,saumon,5,Entrée
Poêlée de St Jacques au vinaigre de mangue,8,45,19,poêle,7,Plat principal
Curry de noix de Saint Jacques,6,99,54,couper,13,Plat principal
Curry rapide de thon et pommes de terre,8,38,21,cocotte,8,Plat principal
Poulet aux langoustines,3,30,24,faire,9,Plat principal
Mon super gâteau au chocolat (micro-onde),6,65,31,gâteau,8,Dessert
Aubergines frites sauce tomate gruyère,5,39,18,tomate,5,Entrée
Riz sauté au poulet et noix de cajou,8,72,25,dé,11,Plat principal
Verrines aux fruits d'été,4,52,10,fraise,6,Dessert
Empanada au chou-fleur et chipolata,5,169,20,réserver,11,Plat principal
Roulades de poulet bacon farcies de cheddar (micro-ondes),8,60,36,crème,11,Plat principal
"Tiramisu  cerises, spéculoos et amarettini",5,84,29,cerise,9,Dessert
Verrine légère mascarpone ananas,4,55,21,ananas,6,Dessert
Tarte sucrée aux pêches,4,104,32,pâte,10,Dessert
Crème glacée  vanille/caramel,3,61,24,rajouter,7,Dessert
Gâteau au carambar au nougat de Nanie,7,58,21,four,8,Dessert
Côtes de porc sauce aux câpres,6,48,23,faire,9,Plat principal
"Tarte courgettes, champignons et mozzarella",5,78,29,légume,10,Plat principal
Salade scandinave au haddock,4,94,47,haddock,15,Plat principal
Magret de canard au miel et au citron et sa fondue de navets,13,93,16,navet,7,Plat principal
Ailes de poulets au barbecue façon lolo  (antilles),8,60,33,aile,13,Plat principal
Omelette aux tomates séchés,4,26,8,tomate,3,Plat principal
Bun's XXL,2,81,41,ajouter,13,Plat principal
"Trio de fruits (grenade, banane et pomme) au fromage blanc",10,45,15,couper,7,Dessert
Cookies maison,2,46,30,petit,9,Dessert
Tiramisu petit beurre et chocolat (sans café),7,44,20,couche,7,Dessert
Artichauts à la Lucullus,4,65,21,artichaut,6,Entrée
"Quiche tomates, lardon, mozzarella",4,48,29,tomate,9,Entrée
Flan aux brocolis et chèvre,5,63,17,gramme,7,Entrée
Mousse au chocolat de ma maman,6,32,10,6,4,Dessert
"Salade concombre, surimi, tarama",4,42,14,couper,8,Entrée
Poulet au Monbazillac,3,33,17,faire,7,Plat principal
"Moules farcies aux épinards, sauce curry",6,107,33,four,10,Plat principal
"Gâteau choco-cocorange (chocolat, coco et orange)",6,39,26,faire,9,Dessert
Cuisses de poulet à la semoule,6,42,18,ajouter,5,Plat principal
Compote pommes - bananes à la cannelle,7,52,20,mettre,7,Dessert
Tiramisu aux framboises et pain d'épices,6,49,25,200,8,Dessert
Mousse de saumon fumé aux oeufs de saumon,8,35,13,saumon,4,Entrée
"Macarons à l'ananas, chocolat blanc et hypocras",7,211,43,blanc,13,Dessert
Cordons bleu au Porto,4,47,28,escalope,9,Plat principal
Kouign des gras,3,69,35,faire,10,Dessert
Craquant au sésame,3,55,4,préparation,3,Dessert
"Escalope de veau à la tomate, aux olives et aux anchois",11,35,28,escalope,11,Plat principal
Bananes glacées au citron,4,24,6,couper,4,Dessert
Pain de la saint martin,5,97,46,faire,13,Dessert
Moules à la fourme d'Ambert,5,47,20,moule,7,Plat principal
Flamiche aux poireaux et knacki sans pâte,7,76,26,knacki,10,Plat principal
Salade poulet gorgonzola,3,43,22,salade,8,Entrée
Brochettes d'agneau au vin rouge,5,32,46,faire,12,Plat principal
Galette de courgettes et de semoule,6,39,19,courgette,7,Plat principal
Velouté de courgettes au curry et ses petits croûtons,9,99,41,faire,12,Plat principal
Feuilletés Tomate Basilic Chorizo,4,85,17,couper,8,Entrée
Tartines chèvre et poivrons confits,5,94,22,poivron,9,Entrée
Pljeskavica (hamburger des Balkans),4,64,32,oignon,10,Plat principal
Gratin de fenouil,3,42,29,faire,9,Plat principal
Tiramisu à la châtaigne,4,68,17,marron,7,Dessert
Velouté d'endive à la mimolette,5,63,21,légume,8,Entrée
Pommes de terre farcies au thon fumé,7,83,37,pomme,11,Plat principal
Cheesecake exotique :  nappage aux fruits de la passion et mousse de mangue,13,177,68,mangue,20,Dessert
Verrines pommes/myrtilles au chocolat,4,79,19,petit,6,Dessert
Daube de poulpe aux carottes et tomates rapide,8,73,36,poulpe,10,Plat principal
Coquilles Saint-Jacques,2,60,29,faire,10,Entrée
Tajine de keftas aux oeufs,5,95,56,boulette,17,Plat principal
Gâteau au haricot rouge,4,69,23,haricot,7,Dessert
Cake ananas - papaye,4,120,64,sec,11,Dessert
Agneau épicé aux épinards,4,84,75,faire,15,Plat principal
Lasagnes aux légumes et lardons,5,51,29,légume,13,Plat principal
Glace 3 chocolats façon tiramisu,5,67,25,préparation,7,Dessert
Darnes de colin aux tomates,5,45,21,four,8,Plat principal
Tomates confites rapides,3,93,29,tomate,7,Plat principal
Crème brûlée à la rhubarbe,5,66,17,min,7,Dessert
Salade de melon aux fruits confits,6,31,16,melon,5,Entrée
"Beignets d’oignons et d’aubergines, sauce pimentée",6,158,62,sauce,20,Entrée
Tartiflette ameliorée,2,95,24,faire,9,Plat principal
Lapin sauté à la sarriette,5,37,34,oignon,11,Plat principal
Kugelhopf,1,129,35,pâte,10,Dessert
Pizza au jambon de Parme et mozzarella,7,55,31,ensuite,9,Plat principal
Matafan à la sauce 3 fromages,6,47,34,galette,14,Plat principal
Soupe  de Poivrons au Gingembre,5,69,33,poivron,10,Entrée
Papillotte de poisson façon Marie,5,63,19,carotte,8,Plat principal
Scampis à l'ail et aux deux poivrons,7,41,22,poivron,8,Entrée
Crêpes farcies aux lentilles corail,5,77,67,faire,17,Plat principal
Lapin aux aromates et aux épices,6,69,16,lapin,9,Plat principal
Vraie recette du biscuit de Savoie,6,79,10,four,5,Dessert
Tourte de blettes Niçoise (tourta de bléa),7,90,57,tourte,19,Dessert
Chorba (recette serbe),3,110,44,cocotte,14,Entrée
Omelette au Haddock,3,32,10,sauce,5,Plat principal
Dinde aux truffes et aux asperges,6,133,34,beurre,12,Plat principal
Youyou (beignet à la tunisienne),5,45,44,huile,14,Dessert
Potage de carotte au roquefort,5,23,12,carotte,5,Entrée
Chausson épinards et comté,4,57,22,bord,6,Plat principal
Lasagnes de blé noir au boeuf,6,74,40,mélanger,13,Plat principal
Mauricettes,1,62,38,2,12,Dessert
Confiture potimarron-orange,2,58,10,orange,4,Dessert
Lasagnes à la ricotta et aux épinards,7,70,25,saler,10,Plat principal
Tarte bourdaloue (aux poires),4,56,30,amande,9,Dessert
Délices de Corn Flakes,4,37,21,pâte,8,Dessert
Quiche à la viande hachée,5,56,23,four,10,Plat principal
Pêche melba,2,48,26,pêche,9,Dessert
Crèmes soufflées à l'orange,4,47,14,orange,5,Dessert
Hamburgers à  la plancha,4,147,81,min,23,Plat principal
Gratin de sardines à la sauce tomate,7,35,22,min,8,Entrée
Tarte légère poivrons fromage de chèvre,6,59,36,saladier,11,Entrée
Entrecôte au poivre vert,4,40,20,ajouter,6,Plat principal
Poulet en cocotte au porto,5,43,20,morceau,7,Plat principal
Charlotte aux spéculoos,3,152,26,café,10,Dessert
Petits macarons à l'amande,4,71,12,amande,4,Dessert
Poulet confit au bacon,4,71,19,oignon,8,Plat principal
Tarte tatin au zeste de citron vert,7,57,22,four,7,Dessert
Rillettes de sardine express,4,32,35,ecraser,8,Entrée
"Mini tartes poire, amandine, petits beurre",6,89,29,pâte,11,Dessert
Gratin de St-Jacques aux épinards,5,53,45,chapelure,14,Plat principal
Sables polenta citron,3,46,28,farine,9,Dessert
Lentilles corail au curcuma,4,43,36,faire,12,Plat principal
Compote de figues sèches,4,40,15,faire,5,Dessert
Soufflé aux écorces d'orange confites et au citron,8,86,24,four,9,Dessert
Brownie fondant chocolat-caramel,3,53,28,180,9,Dessert
Lasagnes aux brocolis,3,75,33,petit,11,Plat principal
Coleslaw aux raisins secs,4,47,29,coupez,10,Entrée
Tarte normande aux pommes et au cookies,7,49,28,pomme,8,Dessert
Tourte de Linz,3,74,34,pâte,11,Dessert
Gateau aux pommes à tomber par terre,7,85,29,pomme,9,Dessert
Tarte Bruxelloise,2,72,21,mélange,7,Dessert
Cannelés au chocolat,3,82,37,chocolat,11,Dessert
Rosbeef  3/4 d'heure,3,53,26,préparation,11,Plat principal
"Filet de bar en croûte de chorizo, purée et mousse de haricots cocos de Paimpol",15,238,43,coco,14,Entrée
Tarte au camembert fondant,4,39,18,tarte,7,Entrée
Soupe épicée aux 13 saveurs façon Anne (68ème rencontre),9,16,63,mélanger,14,Entrée
Trio de gratin de légumes,5,37,45,légume,16,Plat principal
Verrines de saumon frais et au lait de coco,9,81,25,saumon,8,Entrée
Mousse 3 chocolats facon tiramisu,5,121,33,chocolat,12,Dessert
Gâteau au chocolat sans oeuf au micro-ondes,7,31,21,min,7,Dessert
Roulé de dinde et duxelle de champignons,7,113,40,verser,14,Plat principal
Cornets (pour glaces),3,59,12,four,5,Dessert
Crumble aux pommes micro-ondes,4,75,31,micro,8,Dessert
Fricassée de pommes de terre campagnarde,6,67,19,10,7,Entrée
Brownie facile aux petits beurres,5,86,20,crème,6,Dessert
Cake feuilleté au thon et aux olives,7,63,28,olive,8,Entrée
Gratin de chou-fleur franc-comtois,4,76,22,min,10,Plat principal
Ratatouille en couverture de jambon cru,6,78,22,faire,12,Plat principal
Roulade aux deux saumons,4,72,33,saumon,10,Entrée
Lotte farcie aux herbes,4,99,50,lotte,14,Plat principal
Couscous rapide à la cocotte minute,6,104,46,rajouter,14,Plat principal
"Canard aux pommes farci , sauce aux champignons de forêt",10,144,69,canard,23,Plat principal
Fondant au chocolat pour les nuls,6,22,15,faire,6,Dessert
Épaule d'agneau farcie à l'orientale,5,77,35,boulghour,11,Plat principal
Velouté de courgette aux lentilles,5,131,29,eau,8,Entrée
Salade de maïs au curry,5,39,40,mettre,11,Entrée
Tarte crumble à la banane sur compote,7,44,23,pâte,9,Dessert
Pamplemousses farcis aux carottes persillées,5,57,19,pamplemousse,8,Entrée
Filet mignon à la savora,5,36,8,papillote,5,Plat principal
Consommé Xérès en tasses,4,45,12,bouillon,4,Entrée
Truite saumonée et sa crème citronnée aux crevettes,8,29,25,truite,11,Plat principal
Melon tiède à la thaïlandaise,5,87,12,lait,3,Dessert
"Tarte aux champignons, lardons et parmesan",6,80,38,champignon,12,Plat principal
Tarte poireaux roquefort,3,86,24,pâte,9,Entrée
Jambon entier au miel,4,128,35,jambon,15,Plat principal
Dos de cabillaud au vin de chinon,7,98,61,poisson,14,Plat principal
Spaghetti à l'ail et à la tomate,7,38,14,cuire,6,Plat principal
Lasagnes aux légumes et épices,5,85,43,béchamel,18,Plat principal
Pommes de terre aux oignons et au lard,8,49,16,cocotte,8,Plat principal
Poêlée de crevettes à la sauce piquante,7,37,33,ajouter,10,Plat principal
Papillote de rôti de veau roulé aux noix et pignons,10,78,52,rôti,14,Plat principal
Tarte à la confiture d'abricots et aux amandes,8,75,43,pâte,15,Dessert
Gratin aux pommes de terre à la russe,8,65,25,pomme,8,Plat principal
Crevettes aux petits légumes,4,62,33,ajouter,11,Plat principal
Tarticlette,1,42,21,four,6,Plat principal
Fondant très chocolat au thé Matcha,6,74,26,fondre,8,Dessert
Grande assiette italienne,3,91,23,courgette,9,Plat principal
Velouté aux courgettes californien,4,64,27,ajouter,9,Entrée
Maakouda façon cake,3,59,29,ajouter,10,Plat principal
Gâteau glacé 'Dracula',3,76,21,fruit,6,Dessert
Aiguillettes de Poulet à la mandarine,6,41,14,poulet,6,Plat principal
Tarte aux abricots et aux amandes en poudre,8,102,23,pâte,8,Dessert
Tajine de boulettes à la tomate et à la coriandre,10,102,40,2,12,Plat principal
Pâtes aux merguez à ma façon,6,87,27,merguez,10,Plat principal
Charlotte au fromage blanc,4,40,20,tremper,6,Dessert
Soupe légère aux brocolis,4,75,23,rajouter,6,Entrée
Velouté de Potiron et Carottes,5,45,35,potiron,13,Entrée
Mascarpone aux amandes,3,31,24,1,8,Dessert
"Quiche aux courgettes et rôti dite ""Miam Miam""",8,85,37,courgette,12,Plat principal
"Risotto au lait de coco, pousses de bambous et gingembre",10,122,52,faire,13,Plat principal
Paillasson à l'oeuf.,3,110,45,poêle,14,Plat principal
Petits farcis,2,117,45,pulpe,17,Plat principal
Pain,1,295,27,pain,6,Entrée
Cake marbré vanille et cacao amer,6,104,22,ajouter,8,Dessert
Porc sauté aux brocolis,4,129,33,faire,14,Plat principal
Sablés roulés au sucre,4,48,18,boudin,6,Dessert
Soupe de la mer aux légumes,6,113,67,minute,17,Entrée
"Ravioles poireaux-bacon, sauce parmesan et asperges",6,288,76,raviole,20,Plat principal
Soupe chocolat poire,3,40,14,poire,5,Dessert
Bûche au citron de Noël,5,205,47,citron,16,Dessert
Tulipe de la mer,4,92,39,galette,17,Plat principal
Melon caramélisé et magret de canard,6,116,17,magret,7,Plat principal
Crevettes sauce tomate-poireau pimentée,4,47,26,crevette,7,Plat principal
Madeleines choco-mandarine,2,67,16,fondre,8,Dessert
Tarte au chocolat blanc et aux brownies,7,47,16,faire,4,Dessert
Frita (la vraie !),4,82,27,viande,7,Plat principal
Cake Courgettes/Tomates/Chèvre,2,49,21,couper,9,Entrée
Wok de scampi au poivron,5,27,17,ajouter,6,Plat principal
Brochettes de porc panées,4,87,32,tomate,10,Plat principal
Gratin de nouille et d'épinard,5,83,45,moitié,11,Plat principal
Poêlée de pommes de terre/poivrons/champignons,5,51,27,plat,8,Plat principal
Gâteau au potiron de mamie,5,43,42,mélangez,11,Dessert
Salade de pêches à la lavande,6,56,26,quartier,7,Dessert
Jambon braisé au porto,4,85,40,ajouter,12,Plat principal
Poulet épicé en croute de sel (dietetique),7,89,43,poulet,10,Plat principal
Estouffade de veau à l'orange,5,56,25,ajouter,10,Plat principal
Canette fondante aux olives,4,47,19,canette,5,Plat principal
Terrine de polenta aux crevettes et poulet,7,79,76,fait,18,Plat principal
Reine des Neiges,3,40,26,rajouter,9,Dessert
Suprême au chocolat et à la crème au citron,9,192,91,disque,27,Dessert
Gâteau au chocolat et abricots confits,6,70,36,faire,10,Dessert
Gâteau aux flans vanille-caramel et à l'ananas,7,49,31,ananas,9,Dessert
Paté de dinde,3,20,15,couper,6,Entrée
Dessert frais ananas-coco (verrine),4,45,19,mettre,7,Dessert
Brioche perdue au caramel au lait,6,35,15,lait,7,Dessert
Poêlée de St-Jacques et crevettes,5,58,36,noix,16,Plat principal
Mousse au chocolat à la crème d'avoine,7,35,13,faire,4,Dessert
Soupe vietnamienne oeuf poché et salade,6,94,36,eau,8,Plat principal
Haricots blancs à la tomate (Italie),6,77,31,plat,6,Plat principal
Halloween Pie de la fée Stéphanie,6,147,31,pouvoir,10,Dessert
Pizza végétarienne au chèvre,4,39,14,pizza,7,Plat principal
"Pavé de saumon, coriandre et moutarde",6,64,27,épice,6,Plat principal
Fondant au chocolat (sans gluten),5,54,16,fondre,6,Dessert
Endives braisées au gruyère,4,45,17,minute,7,Plat principal
Ragoût breton de saucisses bon et pas cher,8,113,27,bien,9,Plat principal
Kibbe naye (Liban),3,39,22,plat,7,Entrée
Lotte au curry et coriandre,5,40,16,faire,8,Plat principal
Fruits de mer mijotés sur lit de riz,8,76,40,minute,14,Entrée
Pêches marinées au thé vert,5,42,22,pêche,6,Dessert
Smoothie Ananas Kiwi,3,41,17,petit,6,Dessert
La tarte au thon de ma belle mere,8,42,30,etaler,8,Entrée
Soupe à l'oeuf,3,63,23,casserole,7,Entrée
Faisan aux carottes et aux échalotes,6,41,34,faisan,11,Plat principal
Gâteau marbré (recette de grand-mère),5,36,28,moule,9,Dessert
Glace alcoolisée suédoise maison,4,123,32,récipient,6,Dessert
Cocotte de crabe à la tomate et au vin blanc,10,90,43,faire,14,Plat principal
Filets de rougets panés maison,5,84,25,filet,12,Plat principal
Pavé de saumon à l'orientale,5,84,37,coriandre,13,Plat principal
Curry de boeuf à la façon Thaï,7,64,53,ajouter,14,Plat principal
Taboulé à ma façon,4,116,65,remuer,19,Entrée
Sablés de Caen,3,93,28,pâte,8,Dessert
Riz et lentilles à la tomate et coriandre,8,87,27,eau,9,Plat principal
Beignets d'aubergines,2,41,21,aubergine,9,Entrée
Pâté de tête de cochon de peps,7,62,40,porc,14,Entrée
Pigeons aux lardons et champignons,5,42,29,sauteuse,9,Plat principal
Samoussas blettes ricotta et pignons,5,107,21,bien,9,Entrée
Hamburger au barbecue,3,65,29,barbecue,9,Plat principal
Potage aux tomates et aux scampi,6,62,43,ajouter,17,Entrée
Tarte aux courgettes et au cumin,6,100,20,four,8,Entrée
Soufflé aux carottes et aux pommes de terre,8,36,18,min,7,Entrée
Fondant choco noisettes,3,51,19,fondre,7,Dessert
Gâteau aux pommes extra fin,5,71,34,pâte,13,Dessert
Rougail saucisses,2,65,28,saucisse,9,Plat principal
"Poires Aurélie, framboises et chocolat",5,55,21,frais,7,Dessert
Tarte grand-mère aux oranges,4,65,30,sucre,10,Dessert
Rochers à la noix de coco façon lili,8,33,14,sucre,5,Dessert
Chou-fleur à l'allemande,3,81,22,minute,9,Plat principal
Flan à la noix de coco au fructose,8,38,13,min,5,Dessert
Gâteau chocolat spéculoos,3,70,36,blanc,11,Dessert
ESCALOPES DE POULET AIRELLES POMMES,5,73,19,faire,7,Plat principal
Cookies à la pistache et au chocolat blanc,8,94,35,chocolat,10,Dessert
Oeufs cocotte aux échalotes,4,43,13,jambon,5,Entrée
"Les roulés de jambon (rapide, pas cher) de mes enfants",10,55,29,faire,8,Plat principal
Poivrons farcis simple,3,76,16,poivron,10,Plat principal
Brownie gourmand aux noix et pistaches,6,108,31,four,10,Dessert
Biscuits corses,2,93,33,boudin,8,Dessert
Crevettes flambées au gingembre,4,49,36,riz,10,Plat principal
Poulet Calypso,2,45,49,poulet,13,Plat principal
Soufflés au nutella et pralin,5,133,25,moule,9,Dessert
Bouillon aux petites pâtes,4,42,14,pâte,5,Plat principal
Fonds d'artichauts gratinés au crabe,5,39,17,four,6,Entrée
Crème des lutins (au chocolat ),6,39,19,petit,5,Dessert
Quiche au poulet et à l'estragon,6,64,28,pâte,10,Plat principal
Ceviche de lotte,3,58,22,couper,9,Entrée
Pintade sauce citron,3,35,18,minute,8,Plat principal
Andouillette en papillote,3,39,25,barquette,9,Plat principal
Médaillons de sole au colombo,5,78,50,faire,15,Plat principal
Pounti Auvergnat,2,78,34,ajouter,13,Plat principal
Clafoutis aux figues,3,43,26,sucre,9,Dessert
Yaourt aux nectarines,3,30,15,mettre,5,Dessert
Omelette aux spaghettis au four,5,88,28,oeuf,9,Plat principal
Omelette sucrée,2,42,12,cuillère,4,Dessert
Noix de St Jacques toutes simples...,6,32,10,beurre,4,Plat principal
Caneton à la Bigarrade,4,84,27,caneton,8,Plat principal
Penne trois fromages,3,59,26,remuer,11,Plat principal
Paupiettes à la sauce provençale,5,72,38,ajouter,9,Plat principal
Chèvre marinés à l'huile d'olive,5,23,22,mettre,10,Entrée
Gratin de courgettes aux knacks tout simple,7,66,22,lardon,10,Plat principal
Palette de porc braisée à la sauge,7,48,24,feu,8,Plat principal
Thon au poivron vinaigrette,4,62,36,feu,11,Plat principal
Tarte à l'abricot et au fenouil,6,67,21,abricot,7,Dessert
Salade d'été fraîche et light,5,34,20,ail,10,Plat principal
Cake aux carambars,3,50,23,carambar,9,Dessert
Mousse banane et kiwi,4,39,24,kiwi,8,Dessert
Colombo de thon rouge aux courgettes et à la tomate,10,59,40,thon,13,Plat principal
Soupe poireaux riz express,4,52,17,poireau,7,Entrée
Tourte aux cerises,3,93,32,pâte,12,Dessert
Lasagne au jambon d'ardennes et au bleu,7,70,54,sauce,11,Plat principal
Papillotes de colin aux champignons,5,44,20,pavé,7,Plat principal
